1537	107	5	6.69
163	979	13	104.7
1724	122	3	9.49
363	204	3	8.77
2764	116	3	10.21
121	7251	3	20.07
1306	124	3	8.95
112	1479	4	10.74
668	387	3	16.74
832	12	15	12.64
1055	104	7	6.64
2407	111	4	13.61
3047	126	3	13.53
1379	102	7	6.63
117	959	4	8.87
406	674	5	34.04
152	217	6	11.67
125	3455	3	14.56
2930	127	3	13.23
113	543	5	6.94
118	147	19	18.39
3867	101	4	7.87
1626	101	8	7.61
107	2807	6	22.71
453	3704	3	28.45
6104	103	3	9.69
6609	105	3	9.59
2445	101	7	13.78
390	145	25	163.85
665	101	14	7.38
809	131	3	7.33
204	330	3	8.22
176	311	3	6.66
1756	110	9	50.17
1254	105	7	8.34
101	3866	4	7.87
102	2953	5	8.48
233	428	3	10.45
810	1050	5	46.51
103	1072	13	35.27
412	618	3	19.01
12	1660	8	6.94
104	5250	3	9.88
635	170	19	155.99
153	574	3	8.06
208	592	3	11.47
438	12	27	16.74
214	104	36	31.65
12	1864	9	13.43
107	1280	6	8.03
120	699	4	7.58
171	713	5	23.61
105	6122	3	9.59
804	12	14	6.96
587	5112	3	36.58
275	544	3	13.25
12	1982	8	11.93
111	896	5	9.96
320	104	37	80.67
199	1963	3	18.58
102	509	14	7.8
1214	119	3	6.84
110	119	42	13.27
555	102	15	11.2
7050	106	3	11.19
2953	105	6	19.18
818	101	16	24.84
103	2395	5	8.66
12	3200	5	7.46
322	278	15	114.87
215	1468	3	17.69
645	408	4	24.96
294	235	3	8.27
6396	106	3	11.19
161	132	9	9.96
341	200	3	8.01
874	118	4	8.73
102	4737	4	10.62
105	1382	6	7.53
109	1283	6	14.85
113	288	8	8.22
788	397	3	20.45
3060	108	3	7.99
1609	897	7	82.76
3146	817	3	35.62
103	5330	3	9.69
112	4146	3	13.27
179	14	92	7.07
1153	3954	3	36.13
348	255	3	9.97
5527	404	3	34.19
102	6070	3	7.96
127	327	9	21.3
168	105	39	14.28
8	1196	10	44.56
446	587	3	17.19
340	108	15	20.88
420	136	4	8.07
312	200	3	7.64
384	112	10	19.24
425	107	11	6.82
12	847	16	23.88
7043	102	3	7.96
4797	9	3	10.1
130	749	3	7.29
201	109	14	8.75
4650	995	3	35.16
595	618	3	23.05
9	3188	4	14.4
716	1025	3	23.25
173	275	5	14.38
799	107	9	12.06
3954	140	3	19.62
101	544	17	8.35
278	322	15	114.87
101	2338	6	7
5687	102	3	7.96
1009	12	12	8.99
842	115	4	6.84
119	102	129	10.61
1166	116	4	9.15
180	472	3	9.34
999	384	6	48.44
101	4180	4	7.87
729	719	3	21.57
131	4275	3	18.43
132	137	13	12.07
618	595	3	23.05
311	542	3	14.72
106	2794	4	7.96
108	303	11	7.7
113	694	5	8.5
212	295	3	7.46
8	3550	4	13.03
224	244	3	6.66
252	185	7	24.86
364	108	14	20.87
2207	101	6	11.81
224	101	37	7.52
12	274	34	7.68
121	2004	5	23.11
104	2891	5	11.49
12	125	201	52.94
622	132	4	10.56
734	108	11	28.3
1092	120	3	8.78
12	198	50	7.36
113	2474	3	8.78
235	162	4	6.9
1591	105	6	7.53
207	437	4	15.29
177	219	6	17.35
103	110	155	10.17
4860	101	4	7.87
767	108	9	18.67
