12	4333	12
9908	3273	32
1641	7948	2
164	898	0
31627	266	7
13	6483	13
103	8294	14
150	7700	10
14	7629	11
101	9007	7
816	3989	2
58	561	0
10593	5989	9
122	7196	10
24650	7629	7
104	4623	3
3181	4033	11
8889	8987	4
8017	4232	2
108	8701	1
179	1005	1
5106	8765	2
105	8943	20
105	1199	25
4996	1461	9
17740	2314	5
102	4898	19
2075	4379	1
235	4653	10
125	5390	1
3601	5094	12
118	4886	14
103	4032	6
14	6433	21
3396	7212	15
7843	8084	12
9077	7552	3
3718	1759	1
2313	9304	1
41869	5551	11
34984	2931	7
274	6745	11
1565	5633	8
108	4031	1
42332	3571	25
9701	8545	19
107	7349	0
107	8280	0
122	3763	10
30996	7891	8
12	1997	24
129	1006	6
3581	6825	3
28972	2591	22
313	666	19
158	535	8
104	5446	3
32402	8065	4
3788	9625	2
3330	3298	9
2812	1537	2
12	4651	24
113	5836	1
2763	4952	3
320	7829	5
295	6499	17
12	5831	6
22361	5767	0
8006	7200	10
101	4809	8
873	6701	0
1492	7181	23
14	9967	29
107	7794	0
133	2325	5
104	1449	1
107	8863	0
114	5025	5
101	7554	5
37642	2947	4
101	6732	7
181	4619	8
1326	4939	4
405	8575	8
103	7883	12
10813	4213	15
8085	3200	4
16	8559	6
18193	1659	5
185	6042	30
12	1029	8
4385	1586	3
410	1945	0
36155	9829	5
85	2957	14
4006	295	5
14650	2357	17
9425	121	4
5605	5560	3
31782	51	12
15274	2875	2
228	7999	11
38600	4722	11
1177	3990	2
1684	8509	0
138	2993	12
868	691	0
750	2789	3
18587	6159	6
502	8081	6
8	2702	33
4394	1712	1
234	9860	1
3185	6924	0
140	3019	11
5886	3942	3
7327	2547	0
5779	8204	6
101	6689	9
8	8144	14
8595	768	1
444	1018	3
20559	3033	0
2898	1622	9
551	4833	5
12	6625	5
508	6821	18
14	7236	13
6612	2952	9
2131	6342	9
112	4711	13
103	7426	8
276	9653	3
12	232	2
12	3079	5
12	3017	7
28703	86	1
20338	3572	26
104	8935	8
2170	3923	23
10308	4400	1
12	2318	7
563	1610	7
34960	8486	7
5054	7763	2
114	5473	3
8	1054	9
28808	2576	19
568	8068	31
14	6312	19
59	1956	2
598	40	15
5449	6035	0
33702	5645	17
12	6089	2
117	7020	11
108	1267	10
22909	6050	31
14	2688	17
14	68	8
16663	7688	20
14	9954	8
6148	5657	10
16958	1462	5
1895	101	0
222	9028	18
9	7729	15
2470	6053	4
12	7104	8
101	9900	18
24520	2887	1
150	9887	3
6396	8531	1
9504	6562	12
7619	5686	11
2767	7802	2
1983	6497	7
512	8807	14
1406	665	4
542	7548	12
3470	5672	17
36252	1679	4
9030	1822	11
314	7162	7
24330	9682	6
12	5608	15
4894	20	1
14	9195	10
106	8660	15
1064	4126	16
32773	4750	11
2233	5261	0
14	1451	7
101	5672	3
1269	4565	1
104	3139	5
40676	9373	7
116	901	25
2	6973	13
14	5735	13
1134	7594	4
675	9579	7
6980	5553	6
34028	8683	14
40527	1481	4
14	2208	8
108	7579	2
2213	2725	10
32390	5920	5
38258	1562	21
42884	1825	30
1084	9822	16
14	2663	8
1379	3255	27
26381	5482	7
24759	1845	6
910	9583	7
180	2951	11
108	411	7
138	5363	14
13759	3132	2
14	5280	13
6431	5965	2
9694	8055	27
312	1963	14
11995	8700	14
4731	40	21
14	1478	9
105	321	2
101	7297	20
23042	3819	5
14	3842	16
37788	6626	7
136	3259	3
103	2159	11
538	1374	0
113	1733	14
16339	7246	9
300	7615	15
148	7449	3
105	9381	5
3635	7076	10
545	2090	8
12	6862	12
113	1377	4
240	7494	1
13074	1112	22
3383	9799	6
9799	6902	20
159	2079	0
8229	7082	3
103	8014	11
38702	1677	6
101	1706	15
865	8021	11
102	7887	17
372	7711	15
37891	9925	13
14	7596	4
106	752	14
119	6142	13
4668	5657	7
23760	6538	8
821	6150	0
3275	1683	11
41334	1861	10
5447	1634	9
14	8961	6
105	1544	2
3287	7901	8
111	9272	18
554	4851	5
33611	1323	1
168	5379	8
8	8649	34
14	7240	12
479	7301	1
3161	9530	7
