163	979	13	174.54
121	7251	3	36.06
2407	111	4	34.47
1379	102	5	24.14
104	840	4	15.44
205	8	3	4.49
107	2807	6	54.94
105	433	3	6.06
186	108	4	8.72
6609	105	3	25.27
390	145	22	251.39
1756	110	5	41.58
1254	105	7	42.83
102	3073	3	16.78
559	101	4	6.57
101	3866	4	27.45
810	1050	4	56.27
101	3798	3	13.99
412	618	3	32.51
107	1280	4	21.51
101	1252	8	39.89
555	102	4	9.81
2953	105	4	26.12
12	3200	3	11.3
322	278	8	85.95
113	288	3	11.33
3146	817	4	68.53
103	5330	3	25.08
849	101	3	5.66
456	101	9	25.86
173	275	3	20.62
101	544	10	35.03
101	2338	3	11.29
101	4180	3	16.15
108	12	68	6.25
106	2710	3	18.51
126	413	3	17.09
106	349	3	6.05
106	417	3	7.18
121	2004	5	49.55
104	2891	5	36.62
4827	101	3	16.15
734	108	10	74.27
1577	14	4	9.08
1591	105	6	37.21
253	101	6	5.86
1304	101	4	12.7
177	219	5	37.25
101	3442	5	34.31
115	156	4	10.41
209	142	4	22.19
1524	328	3	36.53
103	1256	3	11.86
17	117	4	11.48
105	877	3	10.22
12	4817	4	23.75
239	12	46	196.87
104	195	8	17
347	109	4	15.44
2510	104	3	15.75
136	121	4	9.45
121	1797	3	24.63
107	927	3	12.7
101	786	3	5.35
101	6793	3	20.58
107	1063	4	20.07
144	1308	3	27.01
85	1343	4	30.4
104	232	7	15.37
104	284	37	249.25
101	2641	4	19.94
114	182	3	8.1
1339	145	3	27.86
1649	108	4	27.85
104	1563	7	46.67
1428	105	6	35.55
135	313	3	17.04
101	2064	3	10.33
112	1000	3	18.79
103	324	5	11.64
5465	103	3	25.08
427	200	3	25.13
831	276	3	31.9
111	4010	3	28.51
108	320	4	13.53
101	2235	7	48.04
2594	817	3	46.63
1336	4011	4	77.67
105	128	21	37.14
105	193	6	9.77
4505	287	3	43.47
105	329	10	37.64
439	121	3	16.29
101	455	8	21.01
3688	101	4	22.51
2	14	43	13.45
104	2267	4	24.12
102	358	7	18.58
12	3183	3	11.3
783	156	7	74.76
1005	9	4	22.86
2258	1903	4	71.44
151	104	6	4.31
2480	101	5	26.07
2237	14	6	26.98
607	101	4	7.14
131	237	4	22.12
107	351	12	60.28
1110	1693	3	45.29
298	469	3	28.61
1175	108	5	33.99
131	108	6	7.89
104	2522	5	33.68
104	2470	6	44.68
295	114	5	24.25
3671	12	4	18.86
158	183	3	16.42
390	102	3	3.99
101	2939	5	28.97
1080	108	3	16.2
1788	106	3	15.44
111	1014	8	68.98
351	1987	3	38.59
3039	14	3	8.38
161	104	7	8.75
620	2779	5	83.39
206	794	3	29.15
3953	281	3	43.35
12	2546	3	8.68
169	415	3	23
334	14	9	9.08
127	2930	3	29.19
101	406	21	96.25
954	14	4	5.83
1120	14	5	10.92
3352	14	3	9.83
6007	103	3	25.08
583	233	8	92.49
133	317	12	103.9
1926	3211	5	102.29
124	1417	5	46.68
118	119	7	13.73
3609	103	3	18.41
839	101	6	19.82
615	5510	3	52.98
112	230	3	9.52
104	3311	3	18.52
1705	14	3	5.65
397	278	8	90.31
150	524	8	77.2
106	1547	5	30.85
625	154	3	24.38
6952	12	3	17.82
101	1995	3	10.33
12	411	28	132.08
103	1147	3	11.34
121	1796	4	35.75
425	891	3	35.06
167	120	5	19.4
101	2561	5	26.07
113	835	4	26.63
1929	431	4	56.62
111	502	3	14.13
2044	313	5	70.44
101	1679	4	15.41
560	123	4	26.98
244	131	5	30.26
427	321	4	40.55
2756	105	6	50.55
1453	14	3	5.03
103	286	15	64.79
562	108	8	49.22
1897	12	3	7.76
108	122	13	24.54
122	2	5	9.66
114	2951	4	37.52
12	6519	3	17.82
101	2460	5	26.07
148	4194	3	36.53
267	142	3	17.03
1169	12	4	8.65
1057	12	4	8.06
814	108	6	38.31
263	205	3	22.13
571	14	11	27.36
266	372	4	37.65
2447	105	3	15.83
1315	108	4	25.82
112	128	54	344.33
113	6099	3	33.81
131	1405	3	26.11
110	420	3	12.32
119	3605	3	28.74
2227	1461	6	114.06
537	396	3	31.38
106	805	3	10.88
101	306	24	99.81
1568	715	5	76.52
892	14	4	5.37
439	262	5	51.46
101	4721	3	16.15
268	14	54	293.48
103	1966	3	14.65
101	409	9	23.57
1472	12	4	10.93
172	113	3	7.29
159	115	38	281.7
101	1179	5	18.47
159	281	4	28.75
107	1410	6	39.88
141	108	6	9.55
449	320	9	109.78
272	925	3	32.73
1279	14	5	11.81
101	1068	7	29.09
343	189	4	33.07
103	1452	3	13.08
104	400	3	5.54
121	2546	3	26.52
190	2008	3	34.18
101	1625	7	36.02
115	2732	4	37.63
325	14	13	20.88
3966	293	4	64.21
977	14	4	5.83
2409	101	3	11.29
2318	14	3	7.28
4799	105	4	33.7
106	1382	7	48.12
676	102	3	6.94
695	12	5	8.33
4479	113	4	45.09
382	2839	5	77.88
328	133	3	17.25
126	119	6	14.15
104	211	6	10.53
1880	108	4	29.11
149	152	4	18.56
441	101	6	12
3795	14	5	27.15
6476	105	3	25.27
101	3044	4	19.94
4102	101	3	16.15
104	2503	3	15.75
1211	12	3	5.27
107	536	8	41.53
120	663	3	18.39
6447	105	3	25.27
1212	448	3	37.39
127	1292	10	114.44
770	108	6	37.48
916	101	3	6
503	14	5	4.02
103	4653	3	20.61
2587	242	4	54.53
2069	101	3	10.33
583	1236	3	38.95
1950	12	3	7.76
101	1184	3	7.68
101	1117	6	23.69
110	158	11	45.6
608	696	4	50.01
824	5257	3	54.95
148	111	3	4.51
101	348	37	223.8
1370	5983	3	57.9
107	331	4	10.64
107	130	102	607.35
278	186	4	31.39
479	108	9	54.73
105	103	108	109.85
384	14	7	5.95
119	691	4	26.93
105	298	3	3.98
1373	14	4	8.26
141	142	4	15.24
110	148	6	14.99
159	134	3	11.39
110	402	3	11.98
107	1205	3	14.15
106	2123	4	24.68
178	233	4	28.57
2568	108	3	21.83
290	136	4	24.69
181	767	11	137.77
6303	113	3	33.81
1066	12	3	4.43
4043	12	3	13.42
103	3521	5	41.81
4806	106	3	22.28
1355	117	3	22.12
6945	14	3	16.29
7233	103	3	25.08
491	106	5	18.49
1495	4229	4	78.63
104	248	4	5.79
508	125	3	18.28
283	3839	3	43.35
113	4288	3	29.32
1714	12	3	6.99
107	1047	9	64.28
101	829	14	80.45
1259	113	8	74.98
103	527	3	6.98
500	102	4	9.25
12	1266	3	5.27
129	248	4	21.49
2365	105	6	44.84
862	108	5	30.46
2607	103	6	50.17
1327	105	3	12.62
1955	105	4	22.73
4867	105	4	33.7
731	12	4	5.42
103	188	16	52.98
107	2012	4	25.61
343	119	4	20.88
1502	313	4	51.27
749	594	7	99.34
643	101	3	4.31
249	1355	3	34.08
12	1241	3	5.27
111	229	3	8.86
448	12	5	4.8
111	177	3	7
119	1173	6	53.05
934	14	4	5.83
992	637	3	37.97
113	7114	3	33.81
114	291	3	11.49
3506	664	3	46.54
5473	105	3	25.27
106	208	4	5.84
111	1502	3	20.84
104	2994	3	16.97
4554	995	3	51.28
107	926	5	26.89
107	1002	3	13.14
106	403	6	21.78
117	119	5	6.86
101	954	3	6.36
386	751	4	46.96
3054	108	3	23.41
226	123	3	12.41
738	5334	3	54.22
430	101	11	34.93
126	1162	7	69.53
419	7309	3	50.5
1148	14	5	10.92
111	366	9	56.68
1813	142	4	41.11
101	1663	7	38.63
662	14	7	12.54
101	1362	9	51.47
12	1960	3	7.76
3188	103	3	18.41
3412	14	3	9.83
107	309	8	30.83
101	390	7	14.11
1444	108	3	17.99
917	103	4	15.82
229	267	3	22.98
106	911	5	24.98
3216	308	4	59.55
114	1056	8	71.28
127	297	4	22.31
198	1837	4	47.86
113	137	5	10.65
109	111	9	6.4
12	2275	3	8.68
788	9	4	20.6
169	121	4	14.45
101	185	8	6.54
2785	789	4	65.38
3713	14	3	9.83
1481	14	4	9.08
106	837	3	11.24
107	1174	3	14.15
265	106	5	12.25
134	354	4	26.18
3691	105	4	28.73
183	1598	3	32.28
8	273	3	6.44
359	9	4	13.98
517	1138	3	37.91
2110	786	3	43.99
3761	105	3	18.6
665	108	6	35.31
1767	105	4	21.48
1147	101	3	7.2
825	14	5	8.2
587	200	3	27.14
181	617	10	117.16
101	3865	3	16.15
108	1005	3	15.71
2540	14	3	7.28
2979	3801	3	55.74
106	609	3	9.16
12	1104	3	4.82
101	290	9	17.32
133	2925	3	30.86
101	222	7	6.52
1085	12	5	13.21
928	136	4	35.07
396	1107	3	35.93
105	175	5	5.33
1554	105	10	84.28
210	110	4	12.34
112	518	4	22.48
101	1315	5	19.55
101	1136	4	11.99
123	277	3	14.17
147	1266	3	27.55
1730	3317	3	52.6
280	190	3	21.88
101	1708	6	29.91
111	533	3	14.36
101	1057	6	22.58
1867	103	6	38.8
745	103	16	117.37
101	885	6	20.66
101	937	6	21.57
207	1137	4	44.49
142	1082	5	49.55
163	201	3	17.35
12	138	198	1113.9
106	492	4	12.99
186	1007	3	30.09
114	391	4	20.03
104	445	5	15.07
114	272	4	17.13
104	190	5	6.29
3215	109	3	24.36
353	384	3	28.35
2601	3998	4	84.45
168	2284	3	33.76
101	804	7	24.7
12	444	5	4.8
2215	14	3	7.28
144	4928	3	35.98
742	767	8	121.36
317	2066	3	37.9
103	4785	3	20.61
115	171	6	22.6
209	200	4	28.95
453	2618	3	42.76
3242	242	5	77.78
192	345	7	66.96
1343	648	4	56.81
104	1416	3	12.54
1927	1018	8	153.96
1100	104	8	50.03
3974	115	3	29.44
101	814	5	14.5
129	3784	3	31.38
124	3312	5	61.82
12	394	34	181.54
121	1629	4	34.66
3656	106	3	20.07
114	214	8	39.9
440	106	23	167.57
104	264	6	13.97
267	321	3	25.47
4887	105	4	33.7
1796	106	4	23.43
126	474	5	35.49
2803	12	4	16.33
324	272	8	86.01
106	366	5	15.27
12	257	55	309.86
111	403	6	33.83
2378	178	3	34.6
6015	103	3	25.08
2303	14	4	12.57
1112	14	4	6.9
4689	14	3	11.93
336	194	4	33.36
192	302	3	22.39
1099	145	6	63.64
863	337	9	126.09
3319	157	3	35.76
102	390	4	7.24
215	1603	3	33.47
8	359	3	7.96
421	287	16	213.53
8	411	3	8.71
101	3934	3	16.15
849	113	3	18.06
113	243	3	10.03
