7673	1
867	2
2093	3
6668	4
6116	5
7177	6
5893	7
6776	8
2731	9
3291	10
6134	11
2664	12
5292	13
6516	14
8199	15
4284	16
7935	17
3581	18
2577	19
4659	20
600	21
5446	22
5500	23
7028	24
7122	25
4785	26
5073	27
285	28
4422	29
7054	30
9531	31
226	32
8	33
2724	34
1478	35
6021	36
958	37
5652	38
402	39
5891	40
138	41
282	42
8445	43
3960	44
8425	45
1986	46
3317	47
200	48
7444	49
4736	50
2947	51
2938	52
2963	53
706	54
1347	55
1715	56
8111	57
9373	58
503	59
3231	60
2948	61
8701	62
5129	63
4085	64
9453	65
4761	66
5437	67
3914	68
182	69
5800	70
9546	71
1244	72
694	73
7227	74
375	75
9549	76
8059	77
9552	78
6847	79
5221	80
772	81
2144	82
8014	83
5406	84
6663	85
9550	86
6289	87
5728	88
6157	89
5344	90
3215	91
1611	92
1806	93
5402	94
8899	95
9107	96
9632	97
231	98
9635	99
9634	100
4379	101
8979	102
4269	103
1898	104
5155	105
8284	106
7434	107
6669	108
2548	109
218	110
6268	111
1448	112
6324	113
1659	114
7533	115
94	116
3651	117
9595	118
7157	119
3664	120
6146	121
1055	122
1282	123
944	124
3889	125
378	126
3948	127
988	128
8121	129
1120	130
5953	131
6923	132
7285	133
9095	134
9374	135
1012	136
7384	137
331	138
2403	139
4458	140
4898	141
9353	142
8289	143
5581	144
3643	145
3992	146
2827	147
9626	148
7083	149
1695	150
3059	151
6140	152
3820	153
396	154
8084	155
3308	156
5051	157
1080	158
3259	159
6918	160
4147	161
4484	162
2666	163
2654	164
1234	165
6169	166
2018	167
4361	168
2591	169
1161	170
3051	171
4972	172
1398	173
701	174
6990	175
9043	176
3224	177
106	178
5803	179
4939	180
438	181
1877	182
638	183
3910	184
6238	185
2340	186
5810	187
5978	188
8832	189
6300	190
4711	191
6070	192
8348	193
5189	194
187	195
2066	196
186	197
3790	198
3401	199
5235	200
1704	201
9474	202
4486	203
1881	204
8481	205
6235	206
597	207
4751	208
7097	209
5144	210
1265	211
2109	212
8	213
7319	214
4872	215
4793	216
8063	217
6184	218
7991	219
7254	220
9013	221
7493	222
534	223
6983	224
7849	225
5522	226
1723	227
7751	228
249	229
3587	230
5210	231
1298	232
6426	233
9647	234
614	235
2999	236
6693	237
7791	238
173	239
9265	240
201	241
1541	242
8102	243
6811	244
6695	245
7334	246
52	247
1692	248
5533	249
5242	250
5573	251
323	252
7332	253
7488	254
3736	255
6620	256
5016	257
1670	258
4385	259
6785	260
7588	261
4588	262
7428	263
7532	264
7806	265
1603	266
9587	267
8970	268
8809	269
6966	270
1208	271
2172	272
7508	273
5255	274
3623	275
9476	276
8308	277
9005	278
8447	279
9427	280
7805	281
6203	282
1955	283
7461	284
2346	285
2213	286
8900	287
5281	288
5418	289
7114	290
5703	291
7984	292
6815	293
6386	294
9379	295
8595	296
2007	297
2128	298
8588	299
5433	300
1218	301
9253	302
6954	303
1493	304
2987	305
4680	306
5697	307
3977	308
3140	309
2683	310
260	311
9578	312
5230	313
6796	314
9432	315
7857	316
2328	317
74	318
5877	319
4779	320
3799	321
4265	322
3265	323
5520	324
7881	325
8338	326
8091	327
4282	328
6931	329
2397	330
3288	331
8875	332
903	333
7911	334
5329	335
2101	336
4153	337
4472	338
3184	339
6364	340
1042	341
178	342
1937	343
8943	344
4115	345
5794	346
2338	347
1586	348
1383	349
131	350
2001	351
8945	352
1232	353
1602	354
204	355
4529	356
5159	357
4942	358
8436	359
5903	360
5844	361
3114	362
8741	363
3884	364
8382	365
7725	366
2104	367
219	368
9302	369
2277	370
4205	371
2757	372
9472	373
7679	374
257	375
5158	376
3871	377
4307	378
5095	379
3708	380
5545	381
1384	382
3320	383
9039	384
8125	385
5741	386
1408	387
3103	388
2326	389
1336	390
2191	391
8759	392
1027	393
3109	394
8462	395
8978	396
1284	397
7798	398
3304	399
8169	400
1062	401
5981	402
677	403
3740	404
7231	405
3606	406
2450	407
8240	408
3815	409
2390	410
7380	411
3780	412
9031	413
5676	414
8706	415
2003	416
4849	417
2979	418
2332	419
3706	420
4969	421
1592	422
3047	423
4824	424
7116	425
2789	426
2098	427
1443	428
3611	429
8466	430
1169	431
7197	432
4434	433
8587	434
5819	435
337	436
329	437
6227	438
3506	439
1947	440
1530	441
1231	442
2195	443
3388	444
9229	445
425	446
5212	447
4073	448
1858	449
6907	450
292	451
5234	452
4537	453
2473	454
7895	455
715	456
1776	457
6093	458
485	459
5815	460
8842	461
4287	462
7489	463
3024	464
7153	465
4896	466
5989	467
8831	468
7067	469
8327	470
7892	471
6047	472
1722	473
1455	474
2510	475
909	476
7642	477
1071	478
5085	479
854	480
4580	481
2571	482
7724	483
2603	484
38	485
3781	486
6750	487
2148	488
310	489
7154	490
5246	491
453	492
507	493
6856	494
6321	495
913	496
830	497
1142	498
5608	499
713	500
4577	501
9003	502
4874	503
7089	504
2392	505
2959	506
9511	507
5798	508
5589	509
6095	510
1651	511
133	512
341	513
9530	514
108	515
4675	516
2033	517
1795	518
2069	519
8480	520
252	521
8678	522
2056	523
9528	524
9260	525
2779	526
6928	527
1306	528
6415	529
3322	530
3447	531
3595	532
508	533
5980	534
2051	535
6528	536
242	537
7719	538
7464	539
5521	540
8552	541
2077	542
5389	543
8934	544
8345	545
8459	546
8561	547
4762	548
287	549
1000	550
5610	551
9195	552
573	553
179	554
7121	555
494	556
8311	557
743	558
9113	559
563	560
8814	561
5330	562
7086	563
3366	564
8792	565
8036	566
8602	567
1211	568
6694	569
3771	570
3292	571
5091	572
